date,portfolio_value,cash,invested,benchmark,drawdown,exposure
2022-01-20,4194685.851853661,7.275957614183426e-12,4194685.851853661,18021.09,-0.03810930566260151,1.0
2022-01-21,4087096.794243832,7.275957614183426e-12,4087096.794243832,17856.15,-0.062780739229359,1.0
2022-01-24,3905088.153704366,1.4551915228366852e-11,3905088.153704366,17353.45,-0.1045174565443272,1.0
2022-01-25,3922523.5944833173,1.4551915228366852e-11,3922523.5944833173,17489.15,-0.1005193053527349,1.0
2022-01-27,3871548.1817709017,1.4551915228366852e-11,3871548.1817709017,17302.34,-0.1122085657311761,1.0
2022-01-28,3888726.583540003,1.4551915228366852e-11,3888726.583540003,17314.7,-0.10826935660113235,1.0
2022-01-31,3888541.540960954,0.0,3888541.540960954,17547.4,-0.10831178903615357,1.0
2022-02-01,3909795.5802806597,0.0,3909795.5802806597,17796.25,-0.10343798838439044,1.0
2022-02-02,3996740.251479358,0.0,3996740.251479358,17998.75,-0.08350055490262076,1.0
2022-02-03,4033791.972380725,0.0,4033791.972380725,17794.7,-0.07500416046381864,1.0
2022-02-04,4090139.1983112665,0.0,4090139.1983112665,17755.3,-0.06208308027127851,1.0
2022-02-07,4082616.4683420095,0.0,4082616.4683420095,17477.65,-0.0638081305394037,1.0
2022-02-08,4033461.8841981194,0.0,4033461.8841981194,17509.8,-0.07507985355797941,1.0
2022-02-09,4018077.506392949,0.0,4018077.506392949,17707.84,-0.07860767193856799,1.0
2022-02-10,4022380.08444773,0.0,4022380.08444773,17842.9,-0.07762104029588479,1.0
2022-02-11,3967744.111135981,0.0,3967744.111135981,17606.6,-0.090149710179808,1.0
