symbol,pnl_pct,reason,entry_date,exit_date,hold_days
ADANIGREEN,0.13174965611905765,atr_stop,2022-02-07,2022-05-16,98
KPITTECH,-0.0706709362171315,atr_stop,2022-02-21,2022-05-16,84
FLUOROCHEM,-0.011528838610724734,atr_stop,2022-03-07,2022-05-16,70
PERSISTENT,-0.11041947759140236,atr_stop,2022-03-07,2022-05-16,70
BDL,0.15775780692005026,atr_stop,2022-03-21,2022-05-16,56
IRB,-0.22503477892699442,atr_stop,2022-04-04,2022-05-16,42
SUZLON,-0.19424953773434706,atr_stop,2022-04-18,2022-05-16,28
JSL,-0.28622754491017965,atr_stop,2022-04-18,2022-05-16,28
LODHA,-0.19749517476174716,atr_stop,2022-04-18,2022-05-16,28
ADANIGREEN,-0.1983157485328716,atr_stop,2022-05-16,2022-06-06,21
JSWENERGY,-0.06101827964624129,atr_stop,2022-05-16,2022-06-13,28
IRCTC,-0.24494461814886692,atr_stop,2022-04-18,2022-06-20,63
ADANIPOWER,0.1354503382615304,atr_stop,2022-04-18,2022-06-20,63
BSE,-0.20149153170452339,atr_stop,2022-05-16,2022-06-20,35
TATAPOWER,-0.2008905589414075,atr_stop,2022-04-18,2022-06-27,70
KPRMILL,-0.07879300643068876,atr_stop,2022-05-16,2022-06-27,42
CRISIL,-0.029811196418551345,rank,2022-04-04,2022-06-27,84
OIL,-0.0744800408472811,atr_stop,2022-05-16,2022-07-04,49
SRF,-0.1621401522404995,rank,2022-04-18,2022-07-11,84
MAXHEALTH,0.03347750928520976,rank,2022-05-16,2022-08-08,84
POWERGRID,-0.053197889213263405,rank,2022-05-16,2022-08-08,84
ESCORTS,0.06860354569821947,rank,2022-06-27,2022-08-08,42
SCHAEFFLER,0.4778217699209746,rank,2022-05-16,2022-08-22,98
ABB,0.25810415213106275,rank,2022-05-16,2022-08-22,98
LINDEINDIA,0.11799501505544874,rank,2022-05-16,2022-09-05,112
POWERINDIA,0.134238449788052,rank,2022-05-16,2022-09-19,126
KPRMILL,0.1023776898827804,rank,2022-06-27,2022-09-19,84
IDEA,0.022345552796845247,rank,2022-08-22,2022-10-03,42
ADANIENSOL,0.4900208535272761,atr_stop,2022-06-27,2022-10-10,105
TATAELXSI,-0.024823899739553013,atr_stop,2022-05-16,2022-10-17,154
ADANIPOWER,0.19504061518612548,atr_stop,2022-07-11,2022-10-17,98
TATAPOWER,-0.016681303191520946,rank,2022-08-08,2022-10-31,84
SOLARINDS,0.25050330224804807,rank,2022-04-18,2022-11-28,224
BSE,-0.12745936698032512,rank,2022-08-08,2022-11-28,112
FLUOROCHEM,0.1639101378359611,atr_stop,2022-06-13,2022-12-12,182
ADANIENSOL,-0.12765948526955784,atr_stop,2022-10-17,2022-12-12,56
KEI,0.435801357379191,rank,2021-12-13,2022-12-12,364
TATAINVEST,-0.2243773322919379,atr_stop,2022-09-19,2022-12-19,91
ADANIGREEN,-0.034322736130066867,atr_stop,2022-06-27,2022-12-26,182
MAZDOCK,0.6918140015602494,atr_stop,2022-09-19,2022-12-26,98
ADANIPOWER,-0.21219108930642383,atr_stop,2022-10-17,2022-12-26,70
UNIONBANK,-0.05216068711297395,atr_stop,2022-11-28,2022-12-26,28
BANKINDIA,-0.14813777662347527,atr_stop,2022-12-12,2022-12-26,14
SUZLON,-0.03640993874320342,atr_stop,2022-12-12,2022-12-26,14
CGPOWER,0.6744388518082511,rank,2022-05-16,2023-01-09,238
KPITTECH,0.42417681180896616,rank,2022-05-16,2023-01-09,238
SUZLON,0.09041176905448367,rank,2022-12-26,2023-01-09,14
ATGL,1.7286735979881258,atr_stop,2021-07-26,2023-01-30,553
ADANIENT,0.038870877811531646,atr_stop,2022-08-08,2023-01-30,175
FACT,0.13077689466252918,atr_stop,2022-12-26,2023-01-30,35
BANKINDIA,-0.047986540167205494,atr_stop,2022-12-26,2023-01-30,35
ADANIPOWER,-0.3061088124180823,atr_stop,2022-12-26,2023-02-06,42
AWL,-0.35008721095815054,atr_stop,2023-01-09,2023-02-06,28
BEL,0.18419524301027335,rank,2022-06-27,2023-02-06,224
CANBK,0.22024668148435111,rank,2022-09-05,2023-02-06,154
MAHABANK,-0.0754317661420224,rank,2023-01-09,2023-02-06,28
UCOBANK,-0.13603754833429382,atr_stop,2022-12-26,2023-02-20,56
BANKBARODA,0.4170099405517207,rank,2022-08-22,2023-02-20,182
RVNL,-0.20342506374042846,atr_stop,2022-11-28,2023-02-27,91
UNIONBANK,-0.11553461504187423,atr_stop,2022-12-26,2023-02-27,63
MAZDOCK,-0.1707436653636859,atr_stop,2022-12-26,2023-03-27,91
LINDEINDIA,0.07166524905110805,rank,2023-02-20,2023-04-03,42
KALYANKJIL,-0.098159256268473,atr_stop,2022-12-12,2023-04-10,119
BDL,0.46929893566044667,rank,2022-05-16,2023-05-02,351
GODFRYPHLP,-0.16327864877620035,rank,2023-01-09,2023-05-02,113
NHPC,0.07798974000996184,rank,2023-02-06,2023-05-02,85
INDHOTEL,0.42837656509512057,rank,2022-04-18,2023-05-15,392
SOLARINDS,-0.0440303086761511,rank,2023-02-06,2023-05-15,98
SCHAEFFLER,0.0727737964690669,rank,2023-02-06,2023-05-15,98
ITC,0.10337581838095478,rank,2023-02-06,2023-05-15,98
BLUESTARCO,0.032605292174360034,rank,2023-02-06,2023-05-15,98
AIAENG,-0.02518576980949294,rank,2023-02-06,2023-05-15,98
ABBOTINDIA,0.019848572311450097,rank,2023-02-06,2023-05-15,98
BRITANNIA,0.07201879398392008,rank,2023-04-03,2023-05-15,42
MAXHEALTH,0.17010331810942714,rank,2023-04-03,2023-05-15,42
ZYDUSLIFE,-0.0036861487746914223,rank,2023-05-02,2023-05-15,13
NMDC,0.05387940551931103,atr_stop,2022-10-31,2023-05-22,203
GVT&D,-0.14291182982237882,atr_stop,2023-05-15,2023-06-05,21
TIINDIA,0.557250398861032,rank,2022-07-11,2023-07-10,364
TVSMOTOR,0.22809770780004768,rank,2022-10-17,2023-07-10,266
ABB,0.24940033033198739,rank,2023-05-02,2023-07-24,83
CGPOWER,0.32078514509754363,rank,2023-02-06,2023-08-07,182
